product_id,parent_sku,title_len,title
49407458205,4904651178810,106,DARIYA Salon De Pro Hair Dye For Gray Hair 3 Color Quick Coloring Formula Fragrance Free Direct From Japan
52107411425,,93,Dariya Salon de Pro Foam Hair Color Extra Rich For Gray Hair Fragrance-Free Direct From Japan
53057398414,4901301447876,79,Bioré The Cleanse Oil Mist Makeup Remover 120ml Made In Japan Direct From Japan
26209113815,,106,Thermos Fresh Lunch Box DJB-906W 2-Tier 900ml Food Container Dishwasher & Microwave Safe Direct From Japan
24077479211,4987241173242,87,Melano CC Vitamin C Brightening Enzyme Face Wash 130g Made In Japan - Direct From Japan
55557377293,Kobayashi-Drain care,104,Kobayashi Easy Cleaning Tablets Regular/ Citrus/ Peach/ Small Drain Cleaner Deodorizer Direct From Japan
57707361552,Hadakara-3,115,LION Hadakara Body Soap Fresh Floral Scent/Rich Soap Scent Main Bottle 500ml/Refill 360 ml/800 ml Direct from Japan
46757391028,Hadakara-2,133,LION Hadakara Body Soap Oil-In Pure Rose Scent Moisturizing Liquid Type Bottle 480ml / Refill 340ml / Refill 750ml  Direct from Japan
41629350044,Hadakara-1,141,LION Hadakara Body Soap Smooth Feel Green Citrus Scent Moisturizing Liquid Type Bottle 480ml / Refill 340ml / Refill 750ml  Direct from Japan
46157379771,LION-Ban,104,LION Ban Platinum Roll-on Premium Sweat Block Roll-on/ Stick Deodorant Anti-Perspirant Direct From Japan
55456099074,4901416183782,82,Club SUPPIN Powder C Goodnight Cherry Blossoms Scent Limited Edition Made In Japan
25920822198,,89,Hada Labo Hydrating (Rich) Lotion/ Emulsion/ Refill/ Cream - 170ml/ 400ml - Made in Japan
45807327347,4971710632880,96,KOSE Suncut R Zero-Gravity UV Essence 50g SPF50+ PA++++ Sunscreen Waterproof | Direct From Japan
25830462825,KOSE-UV-051032,89,KOSE Suncut Tone Up UV Essence Sunscreen Waterproof SPF50+ PA++++ 80g - Direct From Japan
40979313140,,105,Lion Rest Time Feet Refreshing Gel Sheets | Cooling Sheet For Relax Leg & Foot Patch | Direct From Japan 
47807297507,Kate eyeshadow-1,100,Kate Popping Silhouette Shadow Eyeshadow Palette 3.6g BE-1/ BR-1/ MV-1/ OR-1/ RD-1 Direct From Japan
27862844971,,116,Reihaku Hatomugi Body Lotion (250g) Fragrance-Free Lotion (250g) Baby Oil (300ml) Hand Cream (65g) Direct From Japan
40426747243,,88,Columbus Mold Prevention & Removal Mist for Leather Products with Platinum Formula 100ml
56557097698,Merit-11,118,Merit Dry Shampoo Sheets | Kids Head Refreshing Sheets | Smooth & Refreshing Hair Type | 12 Sheets | Direct From Japan
46601329299,ORBIS-1,104,ORBIS Essence in Hair Milk 140g/ Treatment Hair Water 180ml/ Essence in Hair Mask 200g Direct From Japan
27518357748,SHISEDO-1122--3,90,TSUBAKI Premium EX Damage Care & Repair Shampoo Conditioner 450ml Refill Direct from Japan
26168353256,SHISEDO-1122--2,91,TSUBAKI Premium Volume & Repair Shampoo & Conditioner  (2024 NEW PACKAGE) Direct From Japan
28018360335,SHISEDO-1122--1,91,TSUBAKI Premium Moist & Repair Shampoo & Conditioner ( 2024 NEW PACKAGE ) Direct from Japan
24151593922,4,98,Tsubaki Premium Repair Mask 180g / Refill 150g Hair Mask Hair Pack Made In Japan Direct From Japan
53357144608,,101,Kao Humming Flare Fabric Softener Floral Lavender Aroma 520g/ Relax Musk Aroma 510g Direct From Japan
55857155137,4901301447135,107,Kao 8x4 Deodorant Putty 25g Unscented Antiperspirant Underarm Cream Long-Lasting Odor Control Made in Japan
24544062496,KOBAYASHI-1225-31,49,KOBAYASHI Smooth Heel Stick 30g Direct From Japan
26133490204,KOBAYASHI-1225-57,96,Kobayashi Wakigard Sweat Odor and Antiperspirant Gel For Armpit / Underarm 50g Direct from Japan
40079003944,,115,TIRTIR Mask Fit Cushion Foundation Mini 4.5g  | 17C Porcelain / 23N Sand / 21N Ivory | SPF40 PA++ Direct From Japan
25208074468,4987167059101,84,Nichiban Roihi Tsuboko Heat & Cool Patches 78 Patches / 156 Patchs Direct from Japan
25767254713,,78, UNO Men's Face Wash Whip Facial Cleanser 130g Black Moist Scrub Made In Japan
25481316710,,87,Bioré Men's Face Wash Cream & Foam Type 5 Variations with Foam Refill Direct From Japan
50853497409,,100,Eikosha Air Spencer R90 | Car Air Freshener Deodorizer Stand Type | Long Lasting | Direct From Japan
40153494918,sinnippai-0607-001,110,Kyushu Green Farm Matcha Aojiru Powder 1.5g x 10 Bags/ Vegetable Powder 3g x 10 Bags/ Burdock Tea 3g x 15 Bags
27319464620,KOSE-1130-228,99,KOSE GRACE ONE Medicated Whitening Series Cream/ Milk/ Essence/ Lotion Anti-aging Direct From Japan
26912849924,,100,Reihaku Hatomugi UV Milky Gel SPF50+ PA++++ Tube 80g/ Pump 250ml SPF31+ Pump 400ml Direct From Japan
28634912032,SKATER-0425-035,100,SKATER Insulated Food Jar w/ Folding Handle 300ml Kuromi/ My Melody Flower LJFO3AG Direct from Japan
48756578235,4987241105106,105,2Pcs/Pack ROHTO Mentholatum Medicated Lip Balm 4g Mint Flavor Lipstick XD (New Package) Direct From Japan
40368829725,4975759041467,107,SOFT99 Glaco Water Repellent Set | Super Glass Cleaner & Coating | Ultimate Protection for Glass & Mirrors 
41167417885,4975759041078,125,Soft99 Glaco Roll On Large 120ml | Made in Japan | Windshield Rain Repellent | Easy Application | Japanese Automotive Product
48907135772,,98,Marna Shupatto Compact Bag Drop 16L M Size | Eco Bag Folding Shopping Bag | S460 Direct From Japan
55457116149,,102,Kao IROKA Fabric & Clothing Spray 250ml | Wrinkle Care | Deodorizing & Anti-Static | Direct From Japan
41529213233,,97,KAO IROKA Premium Fabric Softener 540ml Pure Freesia/ Naked Lily/ Handsome Leaf Direct From Japan
45657140378,,99,Marna Shupatto Compact Bag 15L M Size | Foldable Eco Bag | Durable Shopping Bag | Direct From Japan
55107108102,4987241195183,136,ROHTO Gyutto Corset Hair Mask 200g | Curly Hair Treatment/ Repairing / Frizz Hair Treatment | Green Tea & Yuzu Scent | Direct From Japan
48957130965,KOSE-1130-308,106,KOSE ESPRIQUE Nude Cover Long Stay Pact 9g SPF22 PA++ Refill Pink/ BO-310/ Ochre / Beige Direct From Japan
52507104053,one by kose-1,100,ONE BY KOSE Pore Clear Scrub Wash 130g / Pore Clear Clear Oil 180ml Makeup Removal DIrect From Japan
52207098752,,97,Tiara Girl CC Cream Mineral Cream SPF50 PA+++ / BB Mineral Cream SPF30 PA++ 50g Direct From Japan
48457123521,4901680187356,76,Sailor Fountain Pen Ink Converter Standard Size Stationery Direct From Japan
49757125746,4901681424962,105,Zebra Mildliner Brush Pen 5 Color/Set | Dual Tip Highlighter Pen | Water-Based Marker | Direct From Japan
29301049263,,96,Bioré u Body Soap Body Wash 480mL Refreshing/ Moist/ Angel Rose/ Citrus/ Peach Direct From Japan
27601048526,,86,Bioré Zero Body Sheets 6 Types/Deodorant Roll On 2 Types/ Foot Cream Sweat Care Lotion
55857049008,4971710595659,116,KOSE Suncut Multivitamin UV Essence/ Multivitamin UV Mist/ Protect UV Mist SPF50+ PA++++ Sunscreen Direct From Japan
29051044016,,103,Bioré u Body Soap Body Wash Regular 200ml/ Regular Pump 480ml/Mini 90ml/ Refill 340ml Direct From Japan
27701048398,,102,Bioré Instant Foaming Hand Wash Fruity/ Floral/ Soap/ Unscented 240ml & Refill 430ml Direct From Japan
25281316604,,73,Bioré u Foam Flower Paw Stamp Hand Soap Hand Wash 240ml Direct From Japan
23363284453,,96,Bioré Cool Refreshing Body Sheet Wipes 20 Sheets / Body Towel 5 Sheets Cool Sheets Made in Japan
29389426514,,93,【Set of 2 】Pelican Soap Koisuru Oshiri Hip Care Soap 80g【Peach / Peach mint】Direct From Japan
24954074446,,100,Dariya Momori Hair Care Hair Cream 150g / Hair Milk 115ml/ Hair Wax / Hair Styling Direct From Japan
42229143612,4903301259299,105,LION NONIO Toothpaste 130g Clear Herb Mint/ Splash Citrus Mint/ Purely Mint/ Spicy Mint Direct From Japan
50056980462,LION NANOX series,103,LION NANOX Top Stain Remover Rescue PreCare Spot Cleaner Series For Collars & Sleeves Direct From Japan
40175840815,4975759050643,132,SOFT99 Glass Compound Z 100ml | Abrasive Cleaner for Car Windows & Windshields | Removes Oil Film & Old Coatings | Direct From Japan
42967305654,4975759041467,99,Soft99 Glaco Ultra 70ml | Made in Japan | Fusso Coat | Super Long Lasting Windshield Rain Repellent
42117290588,4975759049579,105,Soft99 Glaco DX 110ml | Made in Japan | Water Repellent | Car Glass Coating | Japanese Automotive Product
47400260625,Soft99-02,119,Soft99 The Kiwami Extreme Gloss Wax 200g | Scratch Clear Wax 200g Hybrid Car Wax | High Gloss Shine | Direct From Japan
41767299233,4975759041016,97,Soft99 Glaco Glass Compound Roll On 100ml Glass Cleaner Made In Japan Removes Dirt Oil Film 04101
28779305549,KAO-1227-70,85,Kao Clear Clean Kids Toothpaste Grape / Strawberry / Melon Soda 70g Direct from Japan
44266422023,,105,Pilot Frixion Light Erasable Highlighter Pen 6 Colors / Set Natural Color Made In Japan Direct From Japan
50255815721,,103,PILOT KIRE-NA Highlighter 5 Colors/Set Basic Color / Pastel Color Chisel and Fine Tip Direct From Japan
47505835255,,106,PILOT Kakuno Fountain Pen | Family / Soft Color / Madoromi Series | EF / F / M Nib | My First Fountain Pen
